order,species,n
Chiroptera,Myotis badius,2
Chiroptera,Myotis bakeri,2
Chiroptera,Myotis bechsteinii,338
Chiroptera,Myotis blythii,1270
Chiroptera,Myotis bocagii,463
Chiroptera,Myotis bombinus,42
Chiroptera,Myotis borneoensis,19
Chiroptera,Myotis brandtii,757
Chiroptera,Myotis browni,19
Chiroptera,Myotis bucharensis,3
Chiroptera,Myotis californicus,5633
Chiroptera,Myotis capaccinii,583
Chiroptera,Myotis caucensis,1
Chiroptera,Myotis chiloensis,675
Chiroptera,Myotis chinensis,42
Chiroptera,Myotis ciliolabrum,2537
Chiroptera,Myotis cobanensis,8
Chiroptera,Myotis crypticus,7
Chiroptera,Myotis csorbai,2
Chiroptera,Myotis dasycneme,794
Chiroptera,Myotis daubentonii,2403
Chiroptera,Myotis davidii,326
Chiroptera,Myotis dieteri,1
Chiroptera,Myotis diminutus,2
Chiroptera,Myotis dinellii,75
Chiroptera,Myotis dominicensis,113
Chiroptera,Myotis elegans,136
Chiroptera,Myotis emarginatus,1107
Chiroptera,Myotis escalerai,19
Chiroptera,Myotis evotis,2280
Chiroptera,Myotis federatus,2
Chiroptera,Myotis fimbriatus,65
Chiroptera,Myotis findleyi,36
Chiroptera,Myotis formosus,51
Chiroptera,Myotis fortidens,621
Chiroptera,Myotis frater,76
Chiroptera,Myotis gomantongensis,51
Chiroptera,Myotis goudotii,245
Chiroptera,Myotis grisescens,3009
Chiroptera,Myotis handleyi,1
Chiroptera,Myotis hasseltii,186
Chiroptera,Myotis hermani,4
Chiroptera,Myotis horsfieldii,435
Chiroptera,Myotis hoveli,1
Chiroptera,Myotis ikonnikovi,234
Chiroptera,Myotis indochinensis,2
Chiroptera,Myotis insularum,1
Chiroptera,Myotis izecksohni,2
Chiroptera,Myotis keaysi,508
Chiroptera,Myotis keenii,742
Chiroptera,Myotis laniger,70
Chiroptera,Myotis larensis,27
Chiroptera,Myotis lavali,15
Chiroptera,Myotis leibii,628
Chiroptera,Myotis levis,734
Chiroptera,Myotis longicaudatus,29
Chiroptera,Myotis longipes,76
Chiroptera,Myotis lucifugus,14549
Chiroptera,Myotis macrodactylus,495
Chiroptera,Myotis macropus,649
Chiroptera,Myotis macrotarsus,115
Chiroptera,Myotis martiniquensis,31
Chiroptera,Myotis midastactus,8
Chiroptera,Myotis moluccarum,295
Chiroptera,Myotis montivagus,86
Chiroptera,Myotis morrisi,5
Chiroptera,Myotis muricola,1875
Chiroptera,Myotis myotis,7491
Chiroptera,Myotis mystacinus,2288
Chiroptera,Myotis nattereri,1163
Chiroptera,Myotis nesopolus,29
Chiroptera,Myotis nigricans,7574
Chiroptera,Myotis nimbaensis,5
Chiroptera,Myotis nipalensis,4
Chiroptera,Myotis nyctor,32
Chiroptera,Myotis occultus,624
Chiroptera,Myotis oreias,1
Chiroptera,Myotis oxyotus,345
Chiroptera,Myotis peninsularis,189
Chiroptera,Myotis pequinius,7
Chiroptera,Myotis petax,129
Chiroptera,Myotis peytoni,5
Chiroptera,Myotis phanluongi,20
Chiroptera,Myotis pilosatibialis,814
Chiroptera,Myotis pilosus,95
Chiroptera,Myotis planiceps,6
Chiroptera,Myotis pruinosus,14
Chiroptera,Myotis punicus,368
Chiroptera,Myotis ridleyi,36
Chiroptera,Myotis riparius,799
Chiroptera,Myotis rosseti,42
Chiroptera,Myotis ruber,71
Chiroptera,Myotis rufoniger,30
Chiroptera,Myotis rufopictus,6
Chiroptera,Myotis schaubi,8
Chiroptera,Myotis scotti,17
Chiroptera,Myotis secundus,18
Chiroptera,Myotis septentrionalis,1270
Chiroptera,Myotis sibiricus,24
Chiroptera,Myotis sicarius,5
Chiroptera,Myotis siligorensis,244
Chiroptera,Myotis simus,194
Chiroptera,Myotis sodalis,3210
Chiroptera,Myotis soror,2
Chiroptera,Myotis sowerbyi,73
Chiroptera,Myotis stalkeri,1
Chiroptera,Myotis thysanodes,2973
Chiroptera,Myotis tricolor,563
Chiroptera,Myotis tschuliensis,11
Chiroptera,Myotis velifer,10474
Chiroptera,Myotis vivesi,772
Chiroptera,Myotis volans,4093
Chiroptera,Myotis weberi,3
Chiroptera,Myotis welwitschii,82
Chiroptera,Myotis yanbarensis,2
Chiroptera,Myotis yumanensis,7376
Chiroptera,Myotis zenatius,6
Chiroptera,Mystacina robusta,7
Chiroptera,Mystacina tuberculata,82
Chiroptera,Myzopoda africana,1
Chiroptera,Myzopoda aurita,62
Chiroptera,Myzopoda schliemanni,27
Chiroptera,Nanonycteris veldkampii,514
Chiroptera,Natalus jamaicensis,13
Chiroptera,Natalus lanatus,79
Chiroptera,Natalus macrourus,11
Chiroptera,Natalus major,49
Chiroptera,Natalus mexicanus,2604
Chiroptera,Natalus primus,1
Chiroptera,Natalus stramineus,1326
Chiroptera,Natalus tumidirostris,1274
Chiroptera,Neonycteris pusilla,4
Chiroptera,Neoplatymops mattogrossensis,243
Chiroptera,Neopteryx frosti,9
Chiroptera,Neoromicia anchietae,176
Chiroptera,Neoromicia bemainty,12
Chiroptera,Neoromicia guineensis,112
Chiroptera,Neoromicia somalica,405
Chiroptera,Neoromicia zuluensis,179
Chiroptera,Nesonycteris fardoulisi,103
Chiroptera,Nesonycteris woodfordi,274
Chiroptera,Noctilio albiventris,4342
Chiroptera,Noctilio americanus,4
Chiroptera,Noctilio leporinus,3235
Chiroptera,Notopteris macdonaldii,157
Chiroptera,Notopteris neocaledonicus,11
Chiroptera,Nyctalus aviator,132
Chiroptera,Nyctalus azoreum,29
Chiroptera,Nyctalus furvus,15
Chiroptera,Nyctalus lasiopterus,87
Chiroptera,Nyctalus leisleri,465
Chiroptera,Nyctalus montanus,4
Chiroptera,Nyctalus noctula,2584
Chiroptera,Nyctalus plancyi,92
Chiroptera,Nycteris arge,310
Chiroptera,Nycteris aurita,27
Chiroptera,Nycteris gambiensis,653
Chiroptera,Nycteris grandis,297
Chiroptera,Nycteris hispida,1560
Chiroptera,Nycteris intermedia,16
Chiroptera,Nycteris javanica,479
Chiroptera,Nycteris macrotis,1194
Chiroptera,Nycteris madagascariensis,4
Chiroptera,Nycteris major,16
Chiroptera,Nycteris nana,107
Chiroptera,Nycteris parisii,12
Chiroptera,Nycteris thebaica,4141
Chiroptera,Nycteris tragata,59
Chiroptera,Nycteris woodi,88
Chiroptera,Nycticeinops bellieri,12
Chiroptera,Nycticeinops crassulus,52
Chiroptera,Nycticeinops eisentrauti,36
Chiroptera,Nycticeinops grandidieri,61
Chiroptera,Nycticeinops happoldorum,11
Chiroptera,Nycticeinops macrocephalus,1
Chiroptera,Nycticeinops schlieffenii,1008
Chiroptera,Nycticeinops serengetiensis,2
Chiroptera,Nycticeius aenobarbus,5
Chiroptera,Nycticeius cubanus,27
Chiroptera,Nycticeius humeralis,4003
Chiroptera,Nyctiellus lepidus,340
Chiroptera,Nyctimene aello,128
Chiroptera,Nyctimene albiventer,1128
Chiroptera,Nyctimene cephalotes,220
Chiroptera,Nyctimene certans,29
Chiroptera,Nyctimene cyclotis,86
Chiroptera,Nyctimene draconilla,78
Chiroptera,Nyctimene keasti,2
Chiroptera,Nyctimene major,273
Chiroptera,Nyctimene malaitensis,4
Chiroptera,Nyctimene masalai,13
Chiroptera,Nyctimene rabori,47
Chiroptera,Nyctimene robinsoni,324
Chiroptera,Nyctimene varius,1
Chiroptera,Nyctimene vizcaccia,133
Chiroptera,Nyctinomops aurispinosus,264
Chiroptera,Nyctinomops femorosaccus,837
Chiroptera,Nyctinomops laticaudatus,2805
Chiroptera,Nyctinomops macrotis,1089
Chiroptera,Nyctophilus arnhemensis,275
Chiroptera,Nyctophilus bifax,401
Chiroptera,Nyctophilus corbeni,154
Chiroptera,Nyctophilus daedalus,83
Chiroptera,Nyctophilus geoffroyi,4042
Chiroptera,Nyctophilus gouldi,1115
Chiroptera,Nyctophilus holtorum,4
Chiroptera,Nyctophilus howensis,1
Chiroptera,Nyctophilus major,408
Chiroptera,Nyctophilus microdon,20
Chiroptera,Nyctophilus microtis,26
Chiroptera,Nyctophilus nebulosus,2
Chiroptera,Nyctophilus sherrini,29
Chiroptera,Nyctophilus walkeri,176
Chiroptera,Otomops formosus,6
Chiroptera,Otomops harrisoni,21
Chiroptera,Otomops madagascariensis,54
Chiroptera,Otomops martiensseni,783
Chiroptera,Otomops papuensis,5
Chiroptera,Otomops secundus,8
Chiroptera,Otomops wroughtoni,26
Chiroptera,Otonycteris hemprichii,186
Chiroptera,Otonycteris leucophaea,2
Chiroptera,Otopteropus cartilagonodus,185
Chiroptera,Ozimops beccarii,109
Chiroptera,Ozimops cobourgianus,92
Chiroptera,Ozimops halli,17
Chiroptera,Ozimops kitcheneri,85
Chiroptera,Ozimops loriae,6
Chiroptera,Ozimops lumsdenae,444
Chiroptera,Ozimops petersi,510
Chiroptera,Ozimops planiceps,720
Chiroptera,Ozimops ridei,534
Chiroptera,Palaeochiropteryx tupaiodon,1
Chiroptera,Paranyctimene raptor,462
Chiroptera,Paranyctimene tenax,16
Chiroptera,Parastrellus hesperus,6703
Chiroptera,Paratriaenops auritus,40
Chiroptera,Paratriaenops furcula,72
Chiroptera,Paratriaenops pauliani,4
Chiroptera,Paremballonura atrata,124
Chiroptera,Paremballonura tiavato,44
Chiroptera,Penthetor lucasii,619
Chiroptera,Perimyotis subflavus,4967
Chiroptera,Peropteryx kappleri,802
Chiroptera,Peropteryx leucoptera,98
Chiroptera,Peropteryx macrotis,2734
Chiroptera,Peropteryx pallidoptera,27
Chiroptera,Peropteryx trinitatis,191
Chiroptera,Pharotis imogene,3
Chiroptera,Philetor brachypterus,243
Chiroptera,Phoniscus aerosus,2
Chiroptera,Phoniscus atrox,30
Chiroptera,Phoniscus jagorii,55
Chiroptera,Phoniscus papuensis,120
Chiroptera,Phylloderma stenops,269
Chiroptera,Phyllonycteris aphylla,83
Chiroptera,Phyllonycteris major,16
Chiroptera,Phyllonycteris poeyi,602
Chiroptera,Phyllops falcatus,318
Chiroptera,Phyllostomus discolor,5240
Chiroptera,Phyllostomus elongatus,1544
Chiroptera,Phyllostomus hastatus,3834
Chiroptera,Phyllostomus latifolius,89
Chiroptera,Pipistrellus abramus,973
Chiroptera,Pipistrellus adamsi,101
Chiroptera,Pipistrellus aero,14
Chiroptera,Pipistrellus angulatus,24
Chiroptera,Pipistrellus ceylonicus,220
Chiroptera,Pipistrellus collinus,92
Chiroptera,Pipistrellus coromandra,488
Chiroptera,Pipistrellus endoi,20
Chiroptera,Pipistrellus hanaki,3
Chiroptera,Pipistrellus hesperidus,312
Chiroptera,Pipistrellus inexspectatus,26
Chiroptera,Pipistrellus javanicus,1585
Chiroptera,Pipistrellus kuhlii,2717
Chiroptera,Pipistrellus maderensis,38
Chiroptera,Pipistrellus minahassae,6
Chiroptera,Pipistrellus murrayi,32
Chiroptera,Pipistrellus nanulus,180
Chiroptera,Pipistrellus nathusii,1271
Chiroptera,Pipistrellus papuanus,1024
Chiroptera,Pipistrellus paterculus,205
Chiroptera,Pipistrellus permixtus,1
Chiroptera,Pipistrellus pipistrellus,7379
Chiroptera,Pipistrellus pygmaeus,3367
Chiroptera,Pipistrellus raceyi,21
Chiroptera,Pipistrellus rusticus,629
Chiroptera,Pipistrellus stenopterus,173
Chiroptera,Pipistrellus sturdeei,1
Chiroptera,Pipistrellus tenuis,958
Chiroptera,Pipistrellus wattsi,2
Chiroptera,Pipistrellus westralis,66
Chiroptera,Platalina genovensium,63
Chiroptera,Platymops setiger,103
Chiroptera,Platyrrhinus albericoi,51
Chiroptera,Platyrrhinus angustirostris,181
Chiroptera,Platyrrhinus aquilus,3
Chiroptera,Platyrrhinus aurarius,225
Chiroptera,Platyrrhinus brachycephalus,454
Chiroptera,Platyrrhinus dorsalis,1189
Chiroptera,Platyrrhinus fusciventris,317
Chiroptera,Platyrrhinus guianensis,4
Chiroptera,Platyrrhinus helleri,4265
Chiroptera,Platyrrhinus incarum,234
Chiroptera,Platyrrhinus infuscus,485
Chiroptera,Platyrrhinus ismaeli,52
Chiroptera,Platyrrhinus lineatus,989
Chiroptera,Platyrrhinus masu,24
Chiroptera,Platyrrhinus matapalensis,41
Chiroptera,Platyrrhinus nitelinea,25
Chiroptera,Platyrrhinus recifinus,71
Chiroptera,Platyrrhinus umbratus,475
Chiroptera,Platyrrhinus vittatus,566
Chiroptera,Plecotus auritus,3296
Chiroptera,Plecotus austriacus,1309
Chiroptera,Plecotus balensis,3
Chiroptera,Plecotus christii,26
Chiroptera,Plecotus gaisleri,39
Chiroptera,Plecotus homochrous,5
Chiroptera,Plecotus kolombatovici,27
Chiroptera,Plecotus kozlovi,34
Chiroptera,Plecotus macrobullaris,221
Chiroptera,Plecotus ognevi,141
Chiroptera,Plecotus sacrimontis,33
Chiroptera,Plecotus sardus,6
Chiroptera,Plecotus strelkovi,22
Chiroptera,Plecotus taivanus,4
Chiroptera,Plecotus teneriffae,15
Chiroptera,Plecotus turkmenicus,27
Chiroptera,Plecotus wardi,17
Chiroptera,Plerotes anchietae,14
Chiroptera,Promops centralis,323
Chiroptera,Promops davisoni,19
Chiroptera,Promops nasutus,191
Chiroptera,Pseudorhinolophus schlosseri,7
Chiroptera,Pseudoromicia brunnea,55
Chiroptera,Pseudoromicia isabella,5
Chiroptera,Pseudoromicia kityoi,3
Chiroptera,Pseudoromicia nyanza,16
Chiroptera,Pseudoromicia rendalli,291
Chiroptera,Pseudoromicia roseveari,8
Chiroptera,Pseudoromicia tenuipinnis,349
Chiroptera,Ptenochirus jagorii,1451
Chiroptera,Ptenochirus minor,362
Chiroptera,Ptenochirus wetmorei,147
Chiroptera,Pteralopex anceps,4
Chiroptera,Pteralopex atrata,19
Chiroptera,Pteralopex flanneryi,6
Chiroptera,Pteralopex taki,11
Chiroptera,Pteronotus alitonus,11
Chiroptera,Pteronotus davyi,1794
Chiroptera,Pteronotus fulvus,2331
Chiroptera,Pteronotus fuscus,388
Chiroptera,Pteronotus gymnonotus,1194
Chiroptera,Pteronotus macleayii,604
Chiroptera,Pteronotus mesoamericanus,1511
Chiroptera,Pteronotus mexicanus,2520
Chiroptera,Pteronotus parnellii,6030
Chiroptera,Pteronotus personatus,3777
Chiroptera,Pteronotus portoricensis,66
Chiroptera,Pteronotus pristinus,1
Chiroptera,Pteronotus psilotis,1578
Chiroptera,Pteronotus pusillus,79
Chiroptera,Pteronotus quadridens,749
Chiroptera,Pteronotus rubiginosus,986
Chiroptera,Pteropus admiralitatum,100
Chiroptera,Pteropus aldabrensis,12
Chiroptera,Pteropus alecto,1945
Chiroptera,Pteropus anetianus,176
Chiroptera,Pteropus aruensis,7
Chiroptera,Pteropus brunneus,1
Chiroptera,Pteropus caniceps,30
Chiroptera,Pteropus capistratus,39
Chiroptera,Pteropus chrysoproctus,76
Chiroptera,Pteropus cognatus,11
Chiroptera,Pteropus conspicillatus,845
Chiroptera,Pteropus coxi,2
Chiroptera,Pteropus dasymallus,130
Chiroptera,Pteropus ennisae,11
Chiroptera,Pteropus faunulus,2
Chiroptera,Pteropus fundatus,19
Chiroptera,Pteropus gilliardorum,12
Chiroptera,Pteropus griseus,76
Chiroptera,Pteropus howensis,15
Chiroptera,Pteropus hypomelanus,1105
Chiroptera,Pteropus keyensis,33
Chiroptera,Pteropus livingstonii,217
Chiroptera,Pteropus lombocensis,34
Chiroptera,Pteropus lylei,440
Chiroptera,Pteropus macrotis,146
Chiroptera,Pteropus mahaganus,13
Chiroptera,Pteropus mariannus,242
Chiroptera,Pteropus medius,69
Chiroptera,Pteropus melanopogon,92
Chiroptera,Pteropus melanotus,108
Chiroptera,Pteropus molossinus,241
Chiroptera,Pteropus neohibernicus,598
Chiroptera,Pteropus niger,94
Chiroptera,Pteropus nitendiensis,4
Chiroptera,Pteropus ocularis,23
Chiroptera,Pteropus ornatus,138
Chiroptera,Pteropus pelagicus,42
Chiroptera,Pteropus pelewensis,629
Chiroptera,Pteropus personatus,49
Chiroptera,Pteropus pilosus,2
Chiroptera,Pteropus pohlei,23
Chiroptera,Pteropus poliocephalus,1461
Chiroptera,Pteropus pselaphon,46
Chiroptera,Pteropus pumilus,150
Chiroptera,Pteropus rayneri,146
Chiroptera,Pteropus rennelli,27
Chiroptera,Pteropus rodricensis,84
Chiroptera,Pteropus rufus,171
Chiroptera,Pteropus samoensis,101
Chiroptera,Pteropus scapulatus,1087
Chiroptera,Pteropus seychellensis,147
Chiroptera,Pteropus speciosus,79
Chiroptera,Pteropus subniger,34
Chiroptera,Pteropus temminckii,96
Chiroptera,Pteropus tokudae,5
Chiroptera,Pteropus tonganus,845
Chiroptera,Pteropus tuberculatus,7
Chiroptera,Pteropus ualanus,11
Chiroptera,Pteropus vampyrus,1593
Chiroptera,Pteropus vetula,46
Chiroptera,Pteropus voeltzkowi,42
Chiroptera,Pteropus woodfordi,157
Chiroptera,Pygoderma bilabiatum,667
Chiroptera,Rhinolophus achilles,16
Chiroptera,Rhinolophus acuminatus,427
Chiroptera,Rhinolophus adami,14
Chiroptera,Rhinolophus affinis,1648
Chiroptera,Rhinolophus alcyone,338
Chiroptera,Rhinolophus alticolus,76
Chiroptera,Rhinolophus andamanensis,7
Chiroptera,Rhinolophus arcuatus,846
Chiroptera,Rhinolophus axillaris,1
Chiroptera,Rhinolophus beddomei,11
Chiroptera,Rhinolophus belligerator,1
Chiroptera,Rhinolophus bembanicus,1
Chiroptera,Rhinolophus blasii,649
Chiroptera,Rhinolophus bocharicus,28
Chiroptera,Rhinolophus borneensis,260
Chiroptera,Rhinolophus brockmani,1
Chiroptera,Rhinolophus canuti,64
Chiroptera,Rhinolophus capensis,152
Chiroptera,Rhinolophus celebensis,162
Chiroptera,Rhinolophus chaseni,52
Chiroptera,Rhinolophus chiewkweeae,26
Chiroptera,Rhinolophus clivosus,2011
Chiroptera,Rhinolophus coelophyllus,187
Chiroptera,Rhinolophus cognatus,7
Chiroptera,Rhinolophus cognotus,1
Chiroptera,Rhinolophus cohenae,5
Chiroptera,Rhinolophus comutus,1
Chiroptera,Rhinolophus convexus,3
Chiroptera,Rhinolophus cornutus,1495
Chiroptera,Rhinolophus creaghi,248
Chiroptera,Rhinolophus damarensis,46
Chiroptera,Rhinolophus darlingi,555
Chiroptera,Rhinolophus deckend,1
Chiroptera,Rhinolophus deckenii,138
Chiroptera,Rhinolophus denti,438
Chiroptera,Rhinolophus dobsoni,16
Chiroptera,Rhinolophus eloquens,496
Chiroptera,Rhinolophus episcopus,47
Chiroptera,Rhinolophus etjryale,1
Chiroptera,Rhinolophus euryale,1184
Chiroptera,Rhinolophus euryotis,279
Chiroptera,Rhinolophus ferrum-eqtjinum,1
Chiroptera,Rhinolophus ferrumequinum,3729
Chiroptera,Rhinolophus formosae,15
Chiroptera,Rhinolophus francisi,11
Chiroptera,Rhinolophus fumigatus,861
Chiroptera,Rhinolophus geoffroyii,6
Chiroptera,Rhinolophus gorongosae,15
Chiroptera,Rhinolophus guineensis,91
Chiroptera,Rhinolophus hildebrandtii,1096
Chiroptera,Rhinolophus hilli,1
Chiroptera,Rhinolophus hillorum,9
Chiroptera,Rhinolophus hipposideros,3040
Chiroptera,Rhinolophus horaceki,7
Chiroptera,Rhinolophus indorouxii,2
Chiroptera,Rhinolophus inops,178
Chiroptera,Rhinolophus kahuzi,2
Chiroptera,Rhinolophus keyensis,71
Chiroptera,Rhinolophus landeri,869
Chiroptera,Rhinolophus lepidus,284
Chiroptera,Rhinolophus lobatus,216
Chiroptera,Rhinolophus luctoides,7
Chiroptera,Rhinolophus luctus,195
Chiroptera,Rhinolophus mabuensis,3
Chiroptera,Rhinolophus maclaudi,28
Chiroptera,Rhinolophus macrotis,203
Chiroptera,Rhinolophus madurensis,8
Chiroptera,Rhinolophus maendeleo,4
Chiroptera,Rhinolophus malayanus,328
Chiroptera,Rhinolophus marshalli,59
Chiroptera,Rhinolophus mcintyrei,2
Chiroptera,Rhinolophus megaphyllus,2135
Chiroptera,Rhinolophus mehelyi,971
Chiroptera,Rhinolophus microglobosus,16
Chiroptera,Rhinolophus mitratus,1
Chiroptera,Rhinolophus monoceros,344
Chiroptera,Rhinolophus montanus,5
Chiroptera,Rhinolophus monticolus,16
Chiroptera,Rhinolophus morio,29
Chiroptera,Rhinolophus mossambicus,10
Chiroptera,Rhinolophus nanus,1
Chiroptera,Rhinolophus nereis,3
Chiroptera,Rhinolophus nippon,184
Chiroptera,Rhinolophus odami,1
Chiroptera,Rhinolophus osgoodi,59
Chiroptera,Rhinolophus pearsonii,580
Chiroptera,Rhinolophus perditus,135
Chiroptera,Rhinolophus perniger,29
Chiroptera,Rhinolophus philippinensis,209
Chiroptera,Rhinolophus proconsulis,2
Chiroptera,Rhinolophus pumilus,47
Chiroptera,Rhinolophus pusillus,756
Chiroptera,Rhinolophus refulgens,201
Chiroptera,Rhinolophus rex,155
Chiroptera,Rhinolophus rhodesiae,32
Chiroptera,Rhinolophus robertsi,22
Chiroptera,Rhinolophus robinsoni,37
Chiroptera,Rhinolophus rouxii,363
Chiroptera,Rhinolophus rufus,75
Chiroptera,Rhinolophus ruwenzorii,10
Chiroptera,Rhinolophus sakejiensis,2
Chiroptera,Rhinolophus schnitzleri,1
Chiroptera,Rhinolophus sedulus,48
Chiroptera,Rhinolophus shameli,215
Chiroptera,Rhinolophus shortridgei,14
Chiroptera,Rhinolophus siamensis,49
Chiroptera,Rhinolophus silvestris,12
Chiroptera,Rhinolophus simulator,823
Chiroptera,Rhinolophus sinicus,288
Chiroptera,Rhinolophus smithersi,3
Chiroptera,Rhinolophus stheno,426
Chiroptera,Rhinolophus subbadius,18
Chiroptera,Rhinolophus subrufus,364
Chiroptera,Rhinolophus swinnyi,314
Chiroptera,Rhinolophus tatar,78
Chiroptera,Rhinolophus thailandensis,3
Chiroptera,Rhinolophus thomasi,236
Chiroptera,Rhinolophus trifoliatus,282
Chiroptera,Rhinolophus truncatus,2
Chiroptera,Rhinolophus virgo,251
Chiroptera,Rhinolophus willardi,5
Chiroptera,Rhinolophus xinanzhongguoensis,7
Chiroptera,Rhinolophus yunanensis,83
Chiroptera,Rhinolophus ziama,2
Chiroptera,Rhinonicteris aurantia,342
Chiroptera,Rhinophylla alethina,140
Chiroptera,Rhinophylla fischerae,395
Chiroptera,Rhinophylla pumilio,2556
Chiroptera,Rhinopoma cystops,361
Chiroptera,Rhinopoma hardwickii,661
Chiroptera,Rhinopoma macinnesi,81
Chiroptera,Rhinopoma microphyllum,588
Chiroptera,Rhinopoma muscatellum,194
Chiroptera,Rhogeessa aenea,157
Chiroptera,Rhogeessa alleni,70
Chiroptera,Rhogeessa bickhami,16
Chiroptera,Rhogeessa genowaysi,13
Chiroptera,Rhogeessa gracilis,27
Chiroptera,Rhogeessa io,108
Chiroptera,Rhogeessa menchuae,2
Chiroptera,Rhogeessa minutilla,246
Chiroptera,Rhogeessa mira,34
Chiroptera,Rhogeessa parvula,745
Chiroptera,Rhogeessa tumida,1263
Chiroptera,Rhogeessa velilla,16
Chiroptera,Rhynchonycteris naso,3067
Chiroptera,Rhyneptesicus nasutus,31
Chiroptera,Rousettus aegyptiacus,3202
Chiroptera,Rousettus amplexicaudatus,3381
Chiroptera,Rousettus celebensis,1068
Chiroptera,Rousettus leschenaultii,1076
Chiroptera,Rousettus madagascariensis,303
Chiroptera,Rousettus obliviosus,89
Chiroptera,Rousettus spinalatus,29
Chiroptera,Roussettus aegyptiacus,2
Chiroptera,Saccolaimus flaviventris,460
Chiroptera,Saccolaimus mixtus,22
Chiroptera,Saccolaimus peli,166
Chiroptera,Saccolaimus saccolaimus,536
Chiroptera,Saccopteryx antioquensis,4
Chiroptera,Saccopteryx bilineata,4749
Chiroptera,Saccopteryx canescens,262
Chiroptera,Saccopteryx gymnura,27
Chiroptera,Saccopteryx leptura,999
Chiroptera,Sauromys petrophilus,278
Chiroptera,Scleronycteris ega,2
Chiroptera,Scoteanax rueppellii,162
Chiroptera,Scotoecus albigula,15
Chiroptera,Scotoecus albofuscus,139
Chiroptera,Scotoecus hindei,239
Chiroptera,Scotoecus hirundo,471
Chiroptera,Scotoecus olduvensis,1
Chiroptera,Scotoecus pallidus,23
Chiroptera,Scotomanes ornatus,174
Chiroptera,Scotonycteris bergmansi,25
Chiroptera,Scotonycteris occidentalis,52
Chiroptera,Scotonycteris zenkeri,231
Chiroptera,Scotophilus altilis,4
Chiroptera,Scotophilus andrewreborii,34
Chiroptera,Scotophilus celebensis,6
Chiroptera,Scotophilus colias,107
Chiroptera,Scotophilus collinus,8
Chiroptera,Scotophilus dinganii,1968
Chiroptera,Scotophilus heathii,390
Chiroptera,Scotophilus kuhlii,2837
Chiroptera,Scotophilus leucogaster,1001
Chiroptera,Scotophilus livingstonii,6
Chiroptera,Scotophilus marovaza,6
Chiroptera,Scotophilus nigrita,417
Chiroptera,Scotophilus nigritellus,26
Chiroptera,Scotophilus nucella,11
Chiroptera,Scotophilus nux,111
Chiroptera,Scotophilus robustus,19
Chiroptera,Scotophilus tandrefana,1
Chiroptera,Scotophilus trujilloi,495
Chiroptera,Scotophilus viridis,619
Chiroptera,Scotorepens balstoni,850
Chiroptera,Scotorepens greyii,1618
Chiroptera,Scotorepens orion,252
Chiroptera,Scotorepens sanborni,367
Chiroptera,Scotozous dormeri,87
Chiroptera,Setirostris eleryi,31
Chiroptera,Sphaerias blanfordi,163
Chiroptera,Sphaeronycteris toxophyllum,199
Chiroptera,Stehlinia quercyi,2
Chiroptera,Stenoderma rufum,232
Chiroptera,Stenonycteris lanosus,230
Chiroptera,Sturnira adrianae,12
Chiroptera,Sturnira angeli,90
Chiroptera,Sturnira aratathomasi,57
Chiroptera,Sturnira bakeri,2
Chiroptera,Sturnira bidens,499
Chiroptera,Sturnira bogotensis,197
Chiroptera,Sturnira burtonlimi,8
Chiroptera,Sturnira erythromos,2092
Chiroptera,Sturnira giannae,35
Chiroptera,Sturnira hondurensis,1584
Chiroptera,Sturnira koopmanhilli,8
Chiroptera,Sturnira lilium,12096
Chiroptera,Sturnira ludovici,5075
Chiroptera,Sturnira luisi,359
Chiroptera,Sturnira magna,285
Chiroptera,Sturnira mistratensis,1
Chiroptera,Sturnira mordax,210
Chiroptera,Sturnira nana,14
Chiroptera,Sturnira oporaphilum,386
Chiroptera,Sturnira parvidens,8502
Chiroptera,Sturnira paulsoni,30
Chiroptera,Sturnira perla,9
Chiroptera,Sturnira sorianoi,4
Chiroptera,Sturnira tildae,1525
Chiroptera,Styloctenium mindorensis,15
Chiroptera,Styloctenium wallacei,99
Chiroptera,Submyotodon caliginosus,12
Chiroptera,Submyotodon latirostris,17
Chiroptera,Submyotodon moupinensis,8
Chiroptera,Syconycteris australis,6302
Chiroptera,Syconycteris carolinae,5
Chiroptera,Syconycteris hobbit,9
Chiroptera,Tadarida aegyptiaca,1467
Chiroptera,Tadarida brasiliensis,28563
Chiroptera,Tadarida fulminans,148
Chiroptera,Tadarida insignis,15
Chiroptera,Tadarida laticaudata,35
Chiroptera,Tadarida latouchei,4
Chiroptera,Tadarida lobata,52
Chiroptera,Tadarida teniotis,627
Chiroptera,Tadarida ventralis,45
Chiroptera,Taphozous achates,4
Chiroptera,Taphozous australis,211
Chiroptera,Taphozous georgianus,1203
Chiroptera,Taphozous hamiltoni,23
Chiroptera,Taphozous hildegardeae,374
Chiroptera,Taphozous hilli,215
Chiroptera,Taphozous kapalgensis,19
Chiroptera,Taphozous longimanus,247
Chiroptera,Taphozous mauritianus,754
Chiroptera,Taphozous melanopogon,1604
Chiroptera,Taphozous nudiventris,580
Chiroptera,Taphozous perforatus,795
Chiroptera,Taphozous theobaldi,394
Chiroptera,Taphozous troughtoni,29
Chiroptera,Thainycteris aureocollaris,24
Chiroptera,Thainycteris torquatus,2
Chiroptera,Thoopterus nigrescens,536
Chiroptera,Thyroptera devivoi,1
