order,species,n
Chiroptera,Corynorhinus townsendii,6771
Chiroptera,Craseonycteris thonglongyai,85
Chiroptera,Cynomops abrasus,245
Chiroptera,Cynomops greenhalli,103
Chiroptera,Cynomops kuizha,1
Chiroptera,Cynomops mastivus,7
Chiroptera,Cynomops mexicanus,60
Chiroptera,Cynomops milleri,5
Chiroptera,Cynomops planirostris,659
Chiroptera,Cynopterus brachyotis,5289
Chiroptera,Cynopterus horsfieldii,469
Chiroptera,Cynopterus luzoniensis,641
Chiroptera,Cynopterus minutus,14
Chiroptera,Cynopterus nusatenggara,50
Chiroptera,Cynopterus sphinx,2455
Chiroptera,Cynopterus titthaecheilus,865
Chiroptera,Cyttarops alecto,39
Chiroptera,Dasypterus ega,1313
Chiroptera,Dasypterus insularis,3
Chiroptera,Dasypterus intermedius,1250
Chiroptera,Dasypterus xanthinus,658
Chiroptera,Desmalopex leucopterus,29
Chiroptera,Desmalopex microleucopterus,12
Chiroptera,Desmodus rotundus,16425
Chiroptera,Desmodus stocki,16
Chiroptera,Diaemus youngii,272
Chiroptera,Diclidurus albus,143
Chiroptera,Diclidurus ingens,7
Chiroptera,Diclidurus isabella,97
Chiroptera,Diclidurus scutatus,36
Chiroptera,Diphylla centralis,1
Chiroptera,Diphylla ecaudata,852
Chiroptera,Dobsonia anderseni,94
Chiroptera,Dobsonia beauforti,20
Chiroptera,Dobsonia chapmani,20
Chiroptera,Dobsonia crenulata,194
Chiroptera,Dobsonia exoleta,95
Chiroptera,Dobsonia inermis,346
Chiroptera,Dobsonia minor,90
Chiroptera,Dobsonia moluccensis,1377
Chiroptera,Dobsonia pannietensis,105
Chiroptera,Dobsonia peronii,108
Chiroptera,Dobsonia praedatrix,212
Chiroptera,Dobsonia viridis,83
Chiroptera,Doryrhina camerunensis,17
Chiroptera,Doryrhina corynophyllus,3
Chiroptera,Doryrhina cyclops,583
Chiroptera,Doryrhina edwardshilli,1
Chiroptera,Doryrhina muscinus,50
Chiroptera,Doryrhina semoni,70
Chiroptera,Doryrhina stenotis,35
Chiroptera,Doryrhina wollastoni,22
Chiroptera,Dyacopterus brooksi,4
Chiroptera,Dyacopterus rickarti,8
Chiroptera,Dyacopterus spadiceus,28
Chiroptera,Ectophylla alba,88
Chiroptera,Eidolon dupreanum,81
Chiroptera,Eidolon helvum,2076
Chiroptera,Emballonura alecto,615
Chiroptera,Emballonura beccarii,231
Chiroptera,Emballonura beccarli,1
Chiroptera,Emballonura dianae,89
Chiroptera,Emballonura furax,59
Chiroptera,Emballonura monticola,531
Chiroptera,Emballonura raffrayana,327
Chiroptera,Emballonura semicaudata,645
Chiroptera,Emballonura seni,1
Chiroptera,Emballonura serii,4
Chiroptera,Enchisthenes hartii,793
Chiroptera,Eonycteris major,39
Chiroptera,Eonycteris robusta,131
Chiroptera,Eonycteris spelaea,2037
Chiroptera,Epomophorus angolensis,35
Chiroptera,Epomophorus anselli,1
Chiroptera,Epomophorus crypturus,1134
Chiroptera,Epomophorus dobsonii,173
Chiroptera,Epomophorus gambianus,1903
Chiroptera,Epomophorus grandis,4
Chiroptera,Epomophorus intermedius,2
Chiroptera,Epomophorus labiatus,1881
Chiroptera,Epomophorus minor,369
Chiroptera,Epomophorus pusillus,2475
Chiroptera,Epomophorus wahlbergi,1849
Chiroptera,Epomops buettikoferi,701
Chiroptera,Epomops franqueti,1726
Chiroptera,Eptesicus anatolicus,2
Chiroptera,Eptesicus andinus,83
Chiroptera,Eptesicus bottae,88
Chiroptera,Eptesicus brasiliensis,821
Chiroptera,Eptesicus chiriquinus,164
Chiroptera,Eptesicus diminutus,98
Chiroptera,Eptesicus floweri,8
Chiroptera,Eptesicus furinalis,1721
Chiroptera,Eptesicus fuscus,19128
Chiroptera,Eptesicus gobiensis,142
Chiroptera,Eptesicus guadeloupensis,5
Chiroptera,Eptesicus hottentotus,117
Chiroptera,Eptesicus innoxius,69
Chiroptera,Eptesicus isabellinus,207
Chiroptera,Eptesicus japonensis,6
Chiroptera,Eptesicus nilssonii,1662
Chiroptera,Eptesicus ognevi,13
Chiroptera,Eptesicus pachyomus,103
Chiroptera,Eptesicus platyops,4
Chiroptera,Eptesicus serotinus,3506
Chiroptera,Eptesicus taddeii,6
Chiroptera,Eptesicus tatei,23
Chiroptera,Eptesicus ulapesensis,2
Chiroptera,Erophylla bombifrons,419
Chiroptera,Erophylla sezekorni,2334
Chiroptera,Euderma maculatum,129
Chiroptera,Eudiscoderma thongareeae,7
Chiroptera,Eudiscopus denticulus,41
Chiroptera,Eumops auripendulus,568
Chiroptera,Eumops bonariensis,1143
Chiroptera,Eumops chimaera,1
Chiroptera,Eumops dabbenei,35
Chiroptera,Eumops delticus,6
Chiroptera,Eumops ferox,11
Chiroptera,Eumops floridanus,57
Chiroptera,Eumops glaucinus,726
Chiroptera,Eumops hansae,83
Chiroptera,Eumops maurus,15
Chiroptera,Eumops nanus,56
Chiroptera,Eumops patagonicus,484
Chiroptera,Eumops perotis,993
Chiroptera,Eumops trumbulli,68
Chiroptera,Eumops underwoodi,196
Chiroptera,Eumops wilsoni,3
Chiroptera,Falsistrellus mackenziei,53
Chiroptera,Falsistrellus tasmaniensis,328
Chiroptera,Furipterus horrens,258
Chiroptera,Gardnerycteris crenulatum,750
Chiroptera,Gardnerycteris keenani,46
Chiroptera,Gardnerycteris koepckeae,5
Chiroptera,Glauconycteris alboguttata,24
Chiroptera,Glauconycteris argentata,308
Chiroptera,Glauconycteris atra,7
Chiroptera,Glauconycteris beatrix,89
Chiroptera,Glauconycteris curryae,15
Chiroptera,Glauconycteris egeria,20
Chiroptera,Glauconycteris gleni,19
