order,species,taxonKey,frozen,tissue,buffer,tissUbuff
Chiroptera,Kerivoula minuta,10030925,0,0,0,0
Chiroptera,Kerivoula minuta,10257111,0,0,0,0
Chiroptera,Kerivoula minuta,10426257,0,0,0,0
Chiroptera,Kerivoula minuta,10653622,0,0,0,0
Chiroptera,Kerivoula muscina,2432550,0,0,0,0
Chiroptera,Kerivoula myrella,2432559,0,0,3,3
Chiroptera,Kerivoula papillosa,2432541,0,11,11,22
Chiroptera,Kerivoula papillosa,4265891,0,0,0,0
Chiroptera,Kerivoula papillosa,7261792,0,0,0,0
Chiroptera,Kerivoula papillosa,9920192,0,0,0,0
Chiroptera,Kerivoula pellucida,2432542,0,8,10,18
Chiroptera,Kerivoula pellucida,10274949,0,0,0,0
Chiroptera,Kerivoula phalaena,2432552,0,0,0,0
Chiroptera,Kerivoula picta,2432543,5,0,4,4
Chiroptera,Kerivoula picta,4265886,0,0,0,0
Chiroptera,Kerivoula picta,4265897,0,0,0,0
Chiroptera,Kerivoula picta,10595703,0,0,0,0
Chiroptera,Kerivoula smithii,2432553,0,0,0,0
Chiroptera,Kerivoula titania,5787669,0,4,0,4
Chiroptera,Kerivoula titania,9937992,0,0,0,0
Chiroptera,Kerivoula titania,10577793,0,0,0,0
Chiroptera,Kerivoula whiteheadi,2432535,0,10,2,12
Chiroptera,Laephotis angolensis,2432307,0,0,0,0
Chiroptera,Laephotis botswanae,2432306,0,0,0,0
Chiroptera,Laephotis botswanae,10582015,0,0,0,0
Chiroptera,Laephotis capensis,2432348,0,0,44,44
Chiroptera,Laephotis capensis,2432377,0,0,0,0
Chiroptera,Laephotis capensis,4265904,0,0,0,0
Chiroptera,Laephotis capensis,4265910,0,84,18,95
Chiroptera,Laephotis capensis,4265913,0,0,0,0
Chiroptera,Laephotis capensis,4265915,0,0,0,0
Chiroptera,Laephotis capensis,4265922,0,0,0,0
Chiroptera,Laephotis capensis,4265933,0,0,0,0
Chiroptera,Laephotis capensis,5787603,0,0,0,0
Chiroptera,Laephotis capensis,5787638,0,0,0,0
Chiroptera,Laephotis capensis,7261798,0,0,33,33
Chiroptera,Laephotis capensis,8738867,0,0,1,1
Chiroptera,Laephotis capensis,8981688,0,0,0,0
Chiroptera,Laephotis capensis,10242500,0,0,0,0
Chiroptera,Laephotis capensis,10848018,0,0,3,3
Chiroptera,Laephotis capensis,11178463,0,0,0,0
Chiroptera,Laephotis kirinyaga,10683075,0,0,0,0
Chiroptera,Laephotis malagasyensis,4265923,0,0,2,2
Chiroptera,Laephotis malagasyensis,8342395,0,0,0,0
Chiroptera,Laephotis malagasyensis,11160439,0,0,0,0
Chiroptera,Laephotis matroka,4266014,0,7,3,10
Chiroptera,Laephotis matroka,10932849,0,0,0,0
Chiroptera,Laephotis matroka,11155878,0,0,0,0
Chiroptera,Laephotis namibensis,2432304,0,0,0,0
Chiroptera,Laephotis robertsi,7959290,0,0,0,0
Chiroptera,Laephotis robertsi,11183054,0,0,0,0
Chiroptera,Laephotis stanleyi,9392840,0,0,0,0
Chiroptera,Laephotis stanleyi,11131101,0,0,0,0
Chiroptera,Laephotis wintoni,2432305,0,1,0,1
Chiroptera,Laephotis wintoni,9933774,0,0,0,0
Chiroptera,Lampronycteris brachyotis,2433284,1,3,2,5
Chiroptera,Lampronycteris brachyotis,4265427,2,8,7,14
Chiroptera,Lampronycteris brachyotis,10169958,0,0,0,0
Chiroptera,Lasionycteris noctivagans,2432341,6,283,218,418
Chiroptera,Lasionycteris noctivagans,10354633,0,0,0,0
Chiroptera,Lasiurus arequipae,10897148,0,0,0,0
Chiroptera,Lasiurus atratus,5707211,0,0,0,0
Chiroptera,Lasiurus atratus,9969336,0,0,0,0
Chiroptera,Lasiurus blossebillii,10721638,0,0,0,0
Chiroptera,Lasiurus blossevillii,5218548,1,56,32,83
Chiroptera,Lasiurus blossevillii,5707203,0,0,0,0
Chiroptera,Lasiurus blossevillii,5707212,0,0,0,0
Chiroptera,Lasiurus blossevillii,7261860,0,2,0,2
Chiroptera,Lasiurus blossevillii,8960316,0,0,0,0
Chiroptera,Lasiurus blossevillii,10074834,0,0,0,0
Chiroptera,Lasiurus blossevillii,10212945,0,0,0,0
Chiroptera,Lasiurus blossevillii,10609386,0,0,0,0
Chiroptera,Lasiurus borealis,5218543,65,613,1104,1412
Chiroptera,Lasiurus borealis,10470585,0,0,0,0
Chiroptera,Lasiurus castaneus,5218538,0,0,0,0
Chiroptera,Lasiurus degelidus,5707213,0,0,0,0
Chiroptera,Lasiurus ebenus,5707205,0,0,0,0
Chiroptera,Lasiurus frantzii,5707204,2,3,5,7
Chiroptera,Lasiurus frantzii,5707207,0,4,19,19
Chiroptera,Lasiurus frantzii,8791541,0,0,0,0
Chiroptera,Lasiurus frantzii,11156288,0,0,0,0
Chiroptera,Lasiurus frantzii,11208478,0,28,0,28
Chiroptera,Lasiurus minor,5218542,0,0,1,1
Chiroptera,Lasiurus minor,10017410,0,0,0,0
Chiroptera,Lasiurus pfeifferi,5707209,0,0,0,0
Chiroptera,Lasiurus pfeifferi,7570385,0,0,0,0
Chiroptera,Lasiurus pfeifferi,10812189,0,0,0,0
Chiroptera,Lasiurus seminolus,5218539,0,9,126,130
Chiroptera,Lasiurus seminolus,9924389,0,0,0,0
Chiroptera,Lasiurus varius,5707210,0,4,0,4
