order,species,frozen,tissue,buffer,tissUbuff
Chiroptera,Chalinolobus dwyeri,2,2,0,2
Chiroptera,Chalinolobus gouldii,345,421,1181,1561
Chiroptera,Chalinolobus morio,140,182,323,491
Chiroptera,Chalinolobus neocaledonicus,0,0,0,0
Chiroptera,Chalinolobus nigrogriseus,12,33,172,203
Chiroptera,Chalinolobus picatus,3,15,3,15
Chiroptera,Chalinolobus tuberculatus,0,0,10,10
Chiroptera,Cheiromeles parvidens,0,0,5,5
Chiroptera,Cheiromeles torquatus,0,5,30,34
Chiroptera,Chilonatalus macer,0,0,3,3
Chiroptera,Chilonatalus micropus,4,5,101,106
Chiroptera,Chilonatalus tumidifrons,0,4,45,49
Chiroptera,Chiroderma doriae,0,5,0,5
Chiroptera,Chiroderma gorgasi,0,0,0,0
Chiroptera,Chiroderma improvisum,0,2,0,2
Chiroptera,Chiroderma salvini,0,48,71,106
Chiroptera,Chiroderma scopaeum,0,3,2,4
Chiroptera,Chiroderma trinitatum,4,40,53,77
Chiroptera,Chiroderma villosum,5,78,163,216
Chiroptera,Chironax melanocephalus,0,6,4,9
Chiroptera,Chironax tumulus,0,0,8,8
Chiroptera,Choeroniscus godmani,2,12,29,39
Chiroptera,Choeroniscus minor,4,7,17,23
Chiroptera,Choeroniscus periosus,0,0,0,0
Chiroptera,Choeronycteris mexicana,3,73,172,209
Chiroptera,Chrotopterus auritus,7,34,31,63
Chiroptera,Cistugo lesueuri,0,0,0,0
Chiroptera,Cistugo seabrae,0,0,0,0
Chiroptera,Cloeotis percivali,0,0,4,4
Chiroptera,Coelops frithii,0,0,5,5
Chiroptera,Coelops robinsoni,0,2,0,2
Chiroptera,Coleura afra,0,37,76,107
Chiroptera,Coleura kibomalandy,0,2,0,2
Chiroptera,Coleura seychellensis,0,0,0,0
Chiroptera,Cormura brevirostris,5,22,25,46
Chiroptera,Corynorhinus mexicanus,0,31,88,94
Chiroptera,Corynorhinus rafinesquii,0,33,57,86
Chiroptera,Corynorhinus townsendii,0,319,357,667
Chiroptera,Craseonycteris thonglongyai,0,0,1,1
Chiroptera,Cynomops abrasus,1,9,13,21
Chiroptera,Cynomops greenhalli,0,4,3,7
Chiroptera,Cynomops kuizha,0,0,0,0
Chiroptera,Cynomops mastivus,0,0,0,0
Chiroptera,Cynomops mexicanus,0,0,4,4
Chiroptera,Cynomops milleri,0,0,0,0
Chiroptera,Cynomops planirostris,0,9,38,45
Chiroptera,Cynopterus brachyotis,41,278,338,598
Chiroptera,Cynopterus horsfieldii,0,15,47,54
Chiroptera,Cynopterus luzoniensis,0,0,0,0
Chiroptera,Cynopterus minutus,0,0,0,0
Chiroptera,Cynopterus nusatenggara,0,0,0,0
Chiroptera,Cynopterus sphinx,2,18,220,236
Chiroptera,Cynopterus titthaecheilus,0,0,358,358
Chiroptera,Cyttarops alecto,0,1,12,13
Chiroptera,Dasypterus ega,0,23,123,143
Chiroptera,Dasypterus insularis,0,0,0,0
Chiroptera,Dasypterus intermedius,0,35,209,221
Chiroptera,Dasypterus xanthinus,1,39,3,42
Chiroptera,Desmalopex leucopterus,0,4,0,4
Chiroptera,Desmalopex microleucopterus,0,7,0,7
Chiroptera,Desmodus rotundus,19,623,2309,2623
Chiroptera,Desmodus stocki,0,0,0,0
Chiroptera,Diaemus youngii,1,15,6,18
