order,species,taxonKey,n
Chiroptera,Artibeus bogotensis,8827146,7
Chiroptera,Artibeus bogotensis,9857485,102
Chiroptera,Artibeus cinereus,2433267,2338
Chiroptera,Artibeus cinereus,8234645,182
Chiroptera,Artibeus cinereus,9972542,2
Chiroptera,Artibeus cinereus,10612620,181
Chiroptera,Artibeus concolor,2433274,642
Chiroptera,Artibeus concolor,4832197,1
Chiroptera,Artibeus concolor,10071680,96
Chiroptera,Artibeus fimbriatus,2433268,454
Chiroptera,Artibeus fimbriatus,10251880,9
Chiroptera,Artibeus fraterculus,2433275,947
Chiroptera,Artibeus fraterculus,10467362,2
Chiroptera,Artibeus glaucus,2433262,1521
Chiroptera,Artibeus glaucus,4832192,252
Chiroptera,Artibeus glaucus,10431487,1
Chiroptera,Artibeus gnomus,4265331,536
Chiroptera,Artibeus gnomus,4832191,30
Chiroptera,Artibeus gnomus,10525138,193
Chiroptera,Artibeus hirsutus,2433263,1062
Chiroptera,Artibeus inopinatus,2433269,450
Chiroptera,Artibeus jamaicensis,2433272,15956
Chiroptera,Artibeus jamaicensis,4265312,2242
Chiroptera,Artibeus jamaicensis,4265314,2156
Chiroptera,Artibeus jamaicensis,4265316,2755
Chiroptera,Artibeus jamaicensis,4265319,675
Chiroptera,Artibeus jamaicensis,4265320,1556
Chiroptera,Artibeus jamaicensis,4265321,2962
Chiroptera,Artibeus jamaicensis,9828369,55
Chiroptera,Artibeus jamaicensis,10222375,174
Chiroptera,Artibeus jamaicensis,10461095,73
Chiroptera,Artibeus lituratus,2433270,14250
Chiroptera,Artibeus lituratus,4265317,1
Chiroptera,Artibeus lituratus,4265327,2659
Chiroptera,Artibeus lituratus,4832182,3093
Chiroptera,Artibeus lituratus,7261671,893
Chiroptera,Artibeus lituratus,9031261,3
Chiroptera,Artibeus lituratus,10315751,948
Chiroptera,Artibeus lituratus,11154978,609
Chiroptera,Artibeus obscurus,2433259,3416
Chiroptera,Artibeus obscurus,7660560,89
Chiroptera,Artibeus obscurus,9915019,1
Chiroptera,Artibeus obscurus,10129191,7
Chiroptera,Artibeus obscurus,10554655,604
Chiroptera,Artibeus phaeotis,2433264,1853
Chiroptera,Artibeus phaeotis,4265328,116
Chiroptera,Artibeus phaeotis,4265336,476
Chiroptera,Artibeus phaeotis,7261672,803
Chiroptera,Artibeus phaeotis,7988605,5
Chiroptera,Artibeus phaeotis,8263789,2473
Chiroptera,Artibeus phaeotis,9885635,151
Chiroptera,Artibeus phaeotis,10280170,6
Chiroptera,Artibeus phaeotis,10403091,1
Chiroptera,Artibeus phaeotis,11226389,14
Chiroptera,Artibeus planirostris,2433271,5243
Chiroptera,Artibeus planirostris,4265313,112
Chiroptera,Artibeus planirostris,4265318,571
Chiroptera,Artibeus planirostris,4265324,173
Chiroptera,Artibeus planirostris,4265325,281
Chiroptera,Artibeus planirostris,4265326,964
Chiroptera,Artibeus planirostris,8760661,15
Chiroptera,Artibeus planirostris,8812494,5
Chiroptera,Artibeus planirostris,8846101,20
Chiroptera,Artibeus planirostris,9147844,20
Chiroptera,Artibeus planirostris,10158532,656
Chiroptera,Artibeus planirostris,11115279,38
Chiroptera,Artibeus planirostris,11147403,147
Chiroptera,Artibeus planirostris,11179576,9
Chiroptera,Artibeus ravus,4265333,57
